DateTime,wd,ws
2025-06-02T03:45:00Z,342.18076,3.015327
2025-06-02T04:00:00Z,305.65753,1.4301689
2025-06-02T04:15:00Z,244.96274,3.5498636
2025-06-02T04:30:00Z,250.80647,5.2215886
2025-06-02T04:45:00Z,283.35532,6.2599664
2025-06-02T05:00:00Z,276.60333,8.173846
2025-06-02T05:15:00Z,285.35208,8.901983
2025-06-02T05:30:00Z,303.78165,6.453141
2025-06-02T05:45:00Z,0,NaN
2025-06-02T06:00:00Z,0,NaN
2025-06-02T06:15:00Z,0,NaN
2025-06-02T06:30:00Z,304.66092,6.456077
2025-06-02T06:45:00Z,300.47684,6.498987
2025-06-02T07:00:00Z,289.98334,6.454712
2025-06-02T07:15:00Z,294.14755,6.723764
2025-06-02T07:30:00Z,299.62823,6.9612336
2025-06-02T07:45:00Z,308.46036,8.147909
2025-06-02T08:00:00Z,307.06958,6.4570637
2025-06-02T08:15:00Z,309.59988,4.440144
2025-06-02T08:30:00Z,247.53174,2.9039466
2025-06-02T08:45:00Z,251.20753,4.329164
2025-06-02T09:00:00Z,249.99365,4.0375676
2025-06-02T09:15:00Z,247.12317,4.212148
2025-06-02T09:30:00Z,256.35565,3.7118704
2025-06-02T09:45:00Z,254.51596,3.7326498
2025-06-02T10:00:00Z,284.56238,3.5261512
2025-06-02T10:15:00Z,268.53192,3.7613113
2025-06-02T10:30:00Z,277.13647,4.7461696
2025-06-02T10:45:00Z,267.2284,5.545125
2025-06-02T11:00:00Z,281.9311,5.788994
2025-06-02T11:15:00Z,304.72675,7.4868116
2025-06-02T11:30:00Z,317.15375,10.242245
2025-06-02T11:45:00Z,310.75327,9.64091
2025-06-02T12:00:00Z,295.43384,9.4744425
2025-06-02T12:15:00Z,291.83374,8.666845
2025-06-02T12:30:00Z,272.8831,8.119726
2025-06-02T12:45:00Z,279.58057,10.3422
2025-06-02T13:00:00Z,276.77484,9.949195
2025-06-02T13:15:00Z,282.15265,9.2800865
2025-06-02T13:30:00Z,266.9289,9.434773
2025-06-02T13:45:00Z,259.26074,9.145615
2025-06-02T14:00:00Z,277.3449,8.052724
2025-06-02T14:15:00Z,286.2324,6.8505707
2025-06-02T14:30:00Z,281.2177,6.374737
2025-06-02T14:45:00Z,282.79895,4.043031
2025-06-02T15:00:00Z,287.2261,4.6987143
2025-06-02T15:15:00Z,218.08441,4.0015683
2025-06-02T15:30:00Z,206.08675,4.733445
2025-06-02T15:45:00Z,211.70839,5.5434833
2025-06-02T16:00:00Z,191.56577,6.482619
2025-06-02T16:15:00Z,182.36148,6.7965016
2025-06-02T16:30:00Z,169.33679,5.908499
2025-06-02T16:45:00Z,175.873,6.31817
2025-06-02T17:00:00Z,195.40613,4.8608932
2025-06-02T17:15:00Z,212.46785,4.866812
2025-06-02T17:30:00Z,186.15894,4.7505045
2025-06-02T17:45:00Z,213.38739,5.466875
2025-06-02T18:00:00Z,216.90271,5.6389527
2025-06-02T18:15:00Z,217.48137,4.819317
2025-06-02T18:30:00Z,219.80534,7.495555
2025-06-02T18:45:00Z,217.27902,7.707177
2025-06-02T19:00:00Z,205.39032,6.408189
2025-06-02T19:15:00Z,208.71344,5.9082146
2025-06-02T19:30:00Z,204.22427,4.8729024
2025-06-02T19:45:00Z,218.90132,8.505962
2025-06-02T20:00:00Z,220.71577,7.443416
2025-06-02T20:15:00Z,222.40988,5.648562
2025-06-02T20:30:00Z,230.19574,3.3584588
2025-06-02T20:45:00Z,224.01862,4.2740717
2025-06-02T21:00:00Z,224.15903,10.005705
2025-06-02T21:15:00Z,215.97697,9.312074
2025-06-02T21:30:00Z,206.69972,11.385664
2025-06-02T21:45:00Z,198.05989,12.017172
2025-06-02T22:00:00Z,201.38092,12.662886
2025-06-02T22:15:00Z,199.77333,12.549129
2025-06-02T22:30:00Z,198.50023,11.888859
2025-06-02T22:45:00Z,198.29515,11.461837
2025-06-02T23:00:00Z,198.65485,9.741944
2025-06-02T23:15:00Z,196.45683,9.483866
2025-06-02T23:30:00Z,199.96269,8.562678
2025-06-02T23:45:00Z,205.69835,8.4048605
2025-06-03T00:00:00Z,207.46313,7.6974335
2025-06-03T00:15:00Z,272.3372,3.1218085
2025-06-03T00:30:00Z,208.17255,2.1716576
2025-06-03T00:45:00Z,213.73691,6.4276533
2025-06-03T01:00:00Z,217.65051,7.6630077
2025-06-03T01:15:00Z,224.52289,6.961019
2025-06-03T01:30:00Z,215.92746,4.9245677
2025-06-03T01:45:00Z,196.0184,5.1630745
2025-06-03T02:00:00Z,195.01186,6.990654
2025-06-03T02:15:00Z,207.21954,7.9176974
2025-06-03T02:30:00Z,203.44298,8.811011
2025-06-03T02:45:00Z,202.36752,8.716478
2025-06-03T03:00:00Z,214.0764,7.8184066
2025-06-03T03:15:00Z,238.12772,6.064349
2025-06-03T03:30:00Z,249.3228,5.6293135
2025-06-03T03:45:00Z,286.54385,3.9421935
2025-06-03T04:00:00Z,313.63928,4.23742
2025-06-03T04:15:00Z,344.77707,3.8069007
2025-06-03T04:30:00Z,21.220114,5.567614
2025-06-03T04:45:00Z,28.392498,5.138815
2025-06-03T05:00:00Z,43.79354,8.59972
2025-06-03T05:15:00Z,72.45282,4.7309403
2025-06-03T05:30:00Z,152.2199,2.7599933
2025-06-03T05:45:00Z,219.70583,2.3980498
2025-06-03T06:00:00Z,301.52133,3.692324
2025-06-03T06:15:00Z,0,NaN
2025-06-03T06:30:00Z,0,NaN
2025-06-03T06:45:00Z,0,NaN
2025-06-03T07:00:00Z,339.69485,2.0478146
2025-06-03T07:15:00Z,337.582,2.5230165
2025-06-03T07:30:00Z,325.83395,2.042155
2025-06-03T07:45:00Z,307.30484,2.592391
2025-06-03T08:00:00Z,280.62866,4.969618
2025-06-03T08:15:00Z,305.89667,3.8697352
2025-06-03T08:30:00Z,339.54694,3.3358254
2025-06-03T08:45:00Z,11.324354,3.3616333
2025-06-03T09:00:00Z,46.416496,4.017464
2025-06-03T09:15:00Z,28.963436,1.7886564
2025-06-03T09:30:00Z,37.658985,1.7632582
2025-06-03T09:45:00Z,41.196316,2.120817
2025-06-03T10:00:00Z,19.08283,1.6296285
2025-06-03T10:15:00Z,73.911255,1.8448125
2025-06-03T10:30:00Z,67.88525,2.5858665
2025-06-03T10:45:00Z,55.947662,3.2660403
2025-06-03T11:00:00Z,58.21187,4.320055
2025-06-03T11:15:00Z,71.41135,5.407199
2025-06-03T11:30:00Z,65.81695,5.554672
2025-06-03T11:45:00Z,66.96093,4.398437
2025-06-03T12:00:00Z,66.13913,3.1881795
2025-06-03T12:15:00Z,78.55529,2.5433843
2025-06-03T12:30:00Z,89.9878,2.750643
2025-06-03T12:45:00Z,100.084816,1.5156559
2025-06-03T13:00:00Z,211.9943,0.54250383
2025-06-03T13:15:00Z,286.0103,0.9584859
2025-06-03T13:30:00Z,297.06665,1.451552
2025-06-03T13:45:00Z,341.25464,0.94427454
2025-06-03T14:00:00Z,337.32965,1.426672
