wind_direction,wind_speed
278.96985,22.65744
288.12646,21.81338
282.04715,20.998154
283.61066,20.952353
285.09045,19.928946
276.6397,22.103746
277.40274,21.742939
0,0
0,0
0,0
0,0
285.61548,19.996456
286.77505,18.766241
287.1808,17.082176
288.4185,17.268393
280.90472,17.630953
284.94876,17.460102
289.85822,16.794796
283.51816,15.744325
274.76675,14.8411665
265.2322,15.036511
266.4014,15.072582
263.51114,16.457981
260.31976,16.678492
258.0547,16.943485
255.54958,16.214436
251.49045,16.595005
250.88657,17.158798
250.38867,16.869202
250.20596,17.353695
247.87521,18.372427
250.28555,18.935553
248.02171,18.715004
251.5994,18.102121
252.61066,18.949453
248.8173,19.364069
249.27492,19.351011
249.11163,19.139658
247.25089,18.09599
248.39206,18.545603
250.73035,18.10816
250.02197,17.2505
248.56702,17.94585
249.56122,17.185596
248.48727,17.251404
251.20549,17.201033
259.66467,18.16056
260.128,17.39037
268.57874,16.9975
268.26144,16.110315
261.09604,16.410812
262.73004,18.046848
268.525,18.417707
260.39172,17.086697
271.2256,14.043979
277.9751,14.756275
274.65894,14.330962
279.77893,14.644505
276.42996,17.861618
287.64468,14.880417
296.41284,13.727666
277.98428,12.041317
261.96042,12.120615
283.0273,11.780382
268.5207,13.7403755
296.4493,14.52919
280.10376,11.535907
283.47702,13.640943
290.1042,11.261327
291.85953,13.948772
282.6151,13.289214
294.1335,13.819941
287.87708,11.969261
282.14914,10.435402
266.5775,9.929245
267.60236,10.410426
260.7284,11.122529
250.19272,8.92633
251.82655,8.900175
254.59053,9.574078
254.84944,7.6381054
265.24988,7.5369177
261.8322,6.904522
276.1706,6.2426615
292.13016,6.2529016
288.64227,5.00288
272.34723,4.899949
270.88867,4.695065
255.87286,4.3335347
259.00375,4.372106
257.86642,4.742042
261.32428,4.590745
246.67896,4.359317
237.95805,4.691068
243.89972,5.40297
235.12936,4.924785
203.98639,4.0797114
199.58931,3.5385237
190.9045,3.8133647
207.38293,3.7240705
305.87872,2.5039253
319.8274,3.1459742
340.96664,11.103581
335.68643,13.621598
341.86053,17.744688
337.20682,16.662796
337.9898,13.547778
337.5962,11.9981785
340.8028,7.90607
346.03586,5.74778
351.3183,3.9115047
342.18076,3.015327
